Nom Text,Latin Translation
為 之 堆 𡨸 朱 陳,vì chi đôi chữ châu trần
朱 𢧚 𫢩 晋 埕 秦,cho nên nay tấn chình tần
干 滝 渃 𣳮,cơn sông nước lã
㩒 樔 吏 妬 庒 戈 為 情,cắm sào lại đó chẳng qua vì tình
厨 芇 𫢋 拯 䧏 生,chùa nào phật chẳng giáng sinh
花 𦹳 埃 拯 損 梗 麻 𨔈,hoa thơm ai chẳng vin cành mà chơi
呐 𦋦 芒 㗂 𡗋 𠳒,nói ra mang tiếng lắm lời
唵 𦋦 辰 𢘝 𢚸 𠊛 世 芇,ướm ra thì nể lòng người thế nào
闭 𫢩 咹 槾 者 桃,bấy nay ăn mận giả đào
信 𠫾 信 吏 别 包 工 呈,tin đi tin lại biết bao công trình
𢧚 丕 唉 客 春 𣛟,nên vầy hởi khách xuân xanh
我 迎 沛 呐 底 情 尼 咍,ngã nghiêng phải nói để tình này hay
爫 之 吝 𢠩 恾,làm chi lần mơ màng
麻 𩈘 㳥 花 枚 淡 牟,mà mặt sóng hoa mai đươm màu
芇 滝 油 𦒹 頭,nào sông dù sáu đầu
底 些 覩 貝 愁 朱 衝,để ta đổ với sầu cho xong
責 埃 牢 庒 訴 𢚸,trách ai sao chẳng tỏ lòng
筭 肝 此 英 碓 特 庒,toan gan thử anh đôi được chăng
撑 牢 拱 𧗱 棱,xanh sao cũng về rừng
妬 埃 禁 𩙌 停 容 𣘃,đó ai cấm gió đừng dung cây
箕 群 别 𩄲,kia còn biết mây
唒 牢 瑟 拱 攄 琴,dẫu sao sắt cũng lựa cầm
花 浪 咳 客 知 音,hoa rằng hỡi khách tri âm
固 者 情 深 買,có giả tình thâm mấy
閉 𫢩 信 𢭮 書 迻,bấy nay tin gửi thư đưa
爫 之 朱 雁 别 𢚸,làm chi cho nhạn biết lòng
彈 箕 𣅶 𦝄 沖,đàn kia lúc trăng trong
吟 詩 白 雪 打 宮 春 情,ngâm thơ bạch tuyết đánh cung xuân tình
圣 他 圣 如 生,thánh tha thánh như sinh
爫 之 煩 底 情 矧 詩,làm chi phiền để tình thẩn thơ
當 干 𢭸 幅 萌 疎,đương cơn tựa bức mành thưa
花 𦹳 嗷 𠯪 𩙌 迻 冷 𨓡,hoa thơm ngào ngạt gió đưa lạnh lùng
船 埃 箕 待 边 滝,thuyền ai kia đợi bên sông
固 𢚸 渚 客 咍 空 咳 船,có lòng chớ khách hay không hỡi thuyền
𧊉 箕 𨔍 渚 悁,bướm kia lạ chửa quen
𢚸 群 㦖 𠳨 根 原 𠇍 𠳒,lòng còn muốn hỏi căn nguyên mấy lời
船 渚 客 賖 𨔈,thuyền chớ khách xa chơi
空 仍 船 固 棟 尼 𣷷 尼,không nhưng thuyền có đóng nơi bến này
花 箕 群 别 𤊰 𣘃,hoa kia còn biết bén cây
嬋 娟 牢 塊 細 𢬣 英 豪,thuyền quyên sao khỏi tới tay anh hào
箕 染 渃 扶 桃,kia nhuộm nước phù đào
㐌 磋 𢧚 𡶀 别 包 𣉹,đã xây nên núi biết bao giờ
𡦂 情 吏 平 𡽫,chữ tình lại bằng non
春 群 情 群,xuân còn tình còn
𢝙 台 趣 味 清 閒,vui thay thú vị thanh nhàn
人 生 典 世 欣 戾 之,nhân sinh đến thế hơn lệ gì
𠦳 春 義 瀋 情 𥱬,nghìn xuân nghĩa thắm tình ghi
沛 如 咹 於 時 咳 埃,phải như ăn ở thì hỡi ai
花 浪 催 拱 别 𠊚,hoa rằng thôi cũng biết người
爫 之 女 世 唭 𠊚 吱,làm chi nữa thế cười người chê
雪 霜 𢢆 几 𠫾 𧗱,tuyết sương thẹn kẻ đi về
箕 滝 怒 𡶀 𠳒 誓 渚 悁,kìa sông nọ núi lời thề chưa quên
𧊉 浪 碑 鑿 群 𠸜,bướm rằng bia tạc còn tên
埃 麻 負 泊 付 𨕭 紅,ai mà phụ bạc phó trên hồng
悲 𣉹 𢚸 㐌 别 弄,bây giờ lòng đã biết lòng
工 𡗶 拱 𡊰 功 𠊚,công trời cũng đền công người
呐 臭 呐 虎 賖 吹,nói xấu nói hổ xa xôi
䀡 𥪝 賦 意 覩 𠳒 冬 迻,xem trong phú ấy đủ lời đong đưa
𡄎 徐 課 怒 典 𣉹,ngẫm từ thuở nọ đến giờ
𠇍 𠳒 句 𠸠 拯 差,mấy lời câu ví chẳng sai
朱 𢧚 固 達 𠇍 𠳒,cho nên có đặt mấy lời
唒 𠸦 拱 默 唒 唭 庒 牢,dẫu khen cùng mặc dẫu cười chẳng sao
𠊚 芇 種 性 𠊚 芇,người nào giống tính người nào
意 埃 意 𧘇 攄 牢 朱 皮,ý ai ý ấy lựa sao cho vừa
句 𠰘 𩵜 坤 皮,câu miệng cá khôn vừa
達 麻 𠳒 沛 𢜝 埃 吱 唭,đật mà lời phải sợ ai chi cười
傳 尼 劄 事 𠁀,truyện nay chép sự đời
典 欺 從 且 䀡 制 之,đến khi thong thả xem chơi gì
𠰘 渚 㗂 冷 吨 賖,miệng chưa tiếng lành đồn xa
鄕 場 皮 課 典 科,hương trường vừa thuở đến khoa
會 功 名 𧘇 埃 劒 埃,hội công danh ấy ai kém ai
達 自 𠵌 体 边 𦖻,đạt từ nghe thấy bên tai
可 浪 埃 亟 别 芸 咹 制,hả rằng ai chẳng biết nghề ăn chơi
𡬶 柴 嗔 𨄹 塘 枚 𦋦 𧗱,tìm thầy xin dạo đường mai ra về
揞 自 𢄂 爫 闺,ôm từ chợ làm quê
乾 坤 梗 𨕭 𦠘,càn khôn gánh trên vai
别 埃 師 弟 别 埃 小 童,biết ai sư đệ biết ai tiểu đồng
𣈜 真 𨄹 塘 樁,ngày chân dạo đường thông
台 丿 㐌 塊 滝 求,hay phút đã khỏi sông cầu
𠳨 深 典 楼,hỏi thăm đến lâu
𠵌 信 生 買 長 兄,nghe tin sinh mới trưởng huynh
共 饒 計 歇 事 情,cùng nhau kể hết sự tình
𭮫 耒 生 買 𦋦 呈 憲 官,đoạn rồi sinh mấy ra trình hiến quan
浪 碎 𥪝 几 士 寒,rằng tôi trong kẻ sĩ hàn
𠵌 𫥨 秩 解 長 安 陣 尼,nghe ra giật giải trường an trận này
𠳚 戈 官 奇 特 台,gửi qua quan cả được hay
𠰺 浪 些 錦 文 章,dậy rằng ta ngẫm văn chương
三 魁 不 及 四 場 有 餘,tam khôi bất cập tứ trường hữu dư
𠰺 朱 𥺊 蒌 荼,dạy cho gạo rau dưa
小 侯 𠄩 矴 迻 𠄩 払,tiểu hầu hai đứa đưa hai chàng
闭 除 師 買 煩,bấy giờ sư mới phiền
𠓨 誦 念 奏 𨕭 𫢋 䑓,vào tụng niệm tấu trên phật đài
南 無 𫢋 教 如 來,na mô phật giáo như lai
渃 楊 急 洒 胣 𠊛 撕 迷,nước dương kíp rưới giạ người tê mê
枚 𢝙 買 竹 鳯 掑 買 鵉,mai vui mấy trúc phượng kề mấy loan
南 無 芇 客 紅 顔,na mô nào khách hồng nhan
𧵆 尼 便 特 咀 嘆 事 𢚸,gần nơi tiện được thở than sự lòng
南 無 色 空,na mô sắc không
庵 𩄲 念 𫢋 𡽫 蓬 想 仙,am mây niệm phật non bồng tưởng tiên
沛 移 矯 㐌 拮 𡬶 科 鄉,phải rời kẻo đã cất tìm khoa hương
㛪 𥛉 𫏾 軒 堂,em lạy trước hiên đường
𥚆 袩 𣈙 㐌 恪 常 𠊛 些,nhìn xem rày đã khác thường người ta
𢨵 𣦍 深 瀋 細 茹 翁,ngõ ngay thăm thẳm tới nhà ông
汫 卒 清 台 汫 𨔍 𨓡,giếng tốt thanh thơi giếng lạ lùng
梂 抛 抛 堆 版 夾,cầu phau phau đôi ván giáp
渃 𤄯 𣱾 𣱾 𣳔 通,nước trong leo lẻo dòng thông
𥛉 蹆 𠄩 𡥚 拱 𦋦,lạy lui hai gã cùng ra
𢚸 春 歆 𠼯 𣷮 羊 習,lòng xuân hăm hở suối dương tập
玉 清 𨿽 庒 𢚸 腰,ngọc thanh tuy chẳng lòng yêu
𠇍 生 袩 共 𦋦 朝 堇 𢠐,mấy sinh xem cũng ra chiều ngẩn ngơ
䝉,mong
㐌 𠲖 昆 買 吏 绳 甘,đã e con mấy lại thằng cam
訴 𦋦 世 拱 袩 岩,tỏ ra thế cũng xem nhàm
謹 时 𬛈 埃 爫 朱 生,kín thời nem ai làm cho sinh
信 麻 吘 事 情,tin mà ngỏ sự tình
命 丿 耒 納 𠇮 吏 𠵌,mình phút lỗi nép mình lại nghe
油 生 杜 翁 宜,dù sinh đỗ ông nghè
乙 些 拱 預 時 榮,ắt ta cũng dự thời vinh
𠄩 払 自 課 𦋦 𠫾,hai chàng từ thuở ra đi
山 南 秩 解 𦊚 期 首 科,sơn nam giật giải bốn kỳ thủ khoa
㗂 屯 代 泣 𧵆 賖,tiếng đồn dậy khắp gần xa
㛪 買 𧿨 吏 本 鄉,em mấy trở lại bản hương
𫏾 吏 萱 堂,trước lạy huyên đường
𨍦 𢜠 㛪 𡛔 𠄩 娘 産 疎,sau mừng em gái hai nàng sởn sơ
媄 昆 路 傳 𨍦 初,mẹ con trò chuyện sau xưa
台 麻 結 㐌 除 𡾵 𨖅,hay mà kết đã chờ ngôi sang
線 精 每 添 強,tuyến tinh mọi thêm càng
皮 戈 辛 卯 吏 𨖅 壬 辰,vừa qua tân mão lại sang nhâm thìn
會 春 計 外 𠀧 𠦳,hội xuân kể ngoại ba nghìn
皇 埃 拱 𡬶 𨖲 𡗶,hoàng ai cũng tìm lên giời
𠀧 𤾓 奇 策 都 才,ba trăm kì sách đua tài
芸 庭 撟 榜 群 𠄩 𫽄 包,vân đình kéo bảng còn vài chẳng bao
𧵆 賖 埃 歌 謠,gần xa ai ca dao
固 𠄩 户 阮 𠸜 榜 𣘈,có hai họ nguyễn tên bảng son
𠄩 𠊛 盎 雲 門,hai người áng vân môn
𡾵 同 進 士 名 屯 𢄂 圭,ngôi đồng tiến sĩ danh đồn chợ quê
買 𠄩 𡥚 隨 兒,mấy hai gã tuỳ nhi
郎 𠳚 憲 𧗱 呈 師,sang gửi hiến về trình sư
𡨸 浪 天 道 無 私,chữ rằng thiên đạo vô tư
爫 𢧚 𦊚 德 恩 如 道 𠀧,làm nên bốn đức ơn nhờ đạo ba
些 浪 玉 静 昆 些,ta rằng ngọc tĩnh con ta
嫁 朱 阮 達 交 和 人 縁,gả cho nguyễn đạt giao hoà nhân duyên
玉 清 自 課 信 傳,ngọc thanh tự thuở tin truyền
明 勹 庒 安 於 耒,mừng rỡ chẳng yên ở rồi
明 浪 払 㐌 𢧚 名,mừng rằng chàng đã nên danh
明 浪 払 㐌 𢧚 名,mừng rằng chàng đã nên danh
𡲤 酌 些 拱 盃 𥪝 每 皮,vả chước ta cũng vui trong mọi bề
𢪀 浪 𡨸 貴 易 交,nghĩ rằng chữ quý dịch giao
新 城 乙 𫽄 劒 之 紅 顔,tân thành ắt chẳng kém gì hồng nhan
哸 生 耒 吏 嫁 娘 朱 生,nuôi sinh rồi lại gả nàng cho sinh
払 生 恩 憲 官,chàng sinh ơn hiến quan
於 冷 埋 吏 﨤 冷,ở lành may lại gặp lành
𪽝 先 積 買 生 𡥵 䝨,bởi tiên tích mới sinh con hiền
鑿 碑 𧘇 底 世,tạc bia ấy để thế
喃 哪 集 笔 研 剳 爫,nôm na tập bút nghiên chép làm
補 才 盘 妬 𡦂 𠫾 傕,bỏ tài bàn đố chữ đi thôi
仍 英 䧺 𭂑 女,những anh hùng thục nữ
祖 秃 𥒦 怍 耒,tổ xóc đĩa sợ rồi
改 良 𫢩 吏 𢵋 𢝙 𠃣 痴,cải lương nay lại đua vui ít xì
𫢩 當 𣇊 争 詩 鍾 鼎,nay đương bữa tranh thi chung đỉnh
埃 伶 𢬣 窖 性 辰 𢧚,ai lanh tay khéo tính thì nên
埃 麻 𠫾 踸 𥄭 悁,ai mà đi chậm ngủ quên
乙 𠊚 捧 𢬣 𨕭 庄 群,ắt người phỗng tay trên chẳng còn
庄 責 仉 粉 𣘈 愚 𢘽,chẳng trách kẻ phấn son ngu dại
只 責 𠊚 襖 解 鬚 眉,chỉ trách người áo giải tu mi
拱 𠊚 格 物 致 知 大 才,cũng người cách vật trí tri đại tài
拱 𠊚 博 書 詩,cũng người bác thư thi
牢 女 怍 局 𠁀 倍,sao nỡ sợ cuộc đời vội
𨷑 𫼳 補 奇 庄 𥆾,mở mang bỏ cả chẳng nhìn
坤 之 𠎪 𡊨 㛪,khôn gì lũ đàn em
女 招 梗 咍 䝨 别 之,nỡ gieo gánh hay hèn biết chi
才 𨇜 争 詩 坤 窖,tài đủ tranh thi khôn khéo
化 朱 𢧚 老 道 𠬠 命,hoá cho nên láu đáu một mình
塘 𨱽 𨤮 功 程,đường dài dặm công trình
強 𠫾 強 庄 体 英 蹺,càng đi càng chẳng thấy anh theo
𭈥 英 伴 𫥨 𣌋 最,nếu anh bận ra sớm tối
𥉫 𡊨 𡥵 礼 拜 蜍,trông đàn con lễ bái thờ
咍 英 群 𠭤,hay anh còn lỡ
性 算 𣗓 及 𢧚 陀 吏 傕,tính toán chưa kịp nên đà lại thôi
油 英 傕 拱 辰 沛 𢪀,dù anh thôi cũng thì phải nghĩ
𠎪 㛪 愚 庫 体 盛 強,lũ em ngu khó thấy thịnh cường
朱 𠊚 只 𡑩 拸 塘,chờ người chỉ nẻo đưa đường
其 村 商 賣 怒 廊 百 公,kìa thôn thương mại nọ làng bách công
辰 㛪 拱 𢝙 𢚸 痗 襘,thì em cũng vui lòng mỏi gối
判 𥪞 𠇍 𢆥 𡗶,phán trong mấy năm giời
感 㤙 英 指 𫮇 買 𢧚,cảm ơn anh chỉ lối mới nên
文 郎 固 賊 掛 尼 边 陲,văn lang có giặc quấy nơi biên thuỳ
埃 英 補 偈 㛪,ai anh bỏ kệ em
𫢩 些 朱 將 軍 𠫾,nay ta cho tướng quân đi
𢧚 虛 咍 𧿨 庄 儋 呐 之,nên hư hay dở chẳng thèm nói chi
各 英 據 醝 離 棋 泊,các anh cứ say lì cờ bạc
只 𢴑 排 鉢 桄 𫷜,chỉ giắt bài bát quanh năm
才 盘 輸 計 行 𤾓,tài bàn thua kể hàng trăm
𫴋 扶 董 𣄒 没 期 𠀧 秋,xuống phù đổng ở một kỳ ba thu
𠃣 痴 輸 計 旦 𠄼 𫤯 𠦳,ít xì thua kể đến năm tám ngàn
耒 𫥨 𠫾 揲 賊,rồi ra đi giẹp giặc
𠢞 衝 渃 𧘇 𧗱 朝 些 低,giúp xong nước ấy về chầu ta đây
將 箕 領 命 𠫾 𬆄,tướng kia lĩnh mệnh đi ngay
富 翁 拱 𣅶 𥊚 尼 醒 𫥨,phú ông cũng lúc mơ này tỉnh ra
輸 泰 𬨨 吹 𢧚 𡗋 幣,thua thái quá xui nên lắm tệ
𣃣 咍 報 𥪝 茄,vừa hay báo trong nhà
宮 𦝄 桂 㐌 艿 𫥨 没 梗,cung giăng quế đã nảy ra một cành
香 迻 𠶗 㘃 門 庭,hương đưa sực nức môn đình
𥋳 𠊚 異 𠍵 𤑟 形 𣅶 迷,coi người dị dạng rõ hình lúc mê
翁 婆 𢜠 懙 𤾓 皮,ông bà mừng rỡ trăm bề
鐄 招 玉 𣋽 𣌉 拯,vàng chiu ngọc sớm khuya chẳng
㐱 𠲖 神 梦 𠇍 𠳒,chỉn e thần mộng mấy nhời
𡥵 𨖲 𠀧 𣦮 𧗱 𡗶 空 𥹰,con lên ba tuổi về giời không lâu
翁 撑 假 之 饒,ông xanh giả chi nhau
固 𦓡 固 𠱋 空,có mà có dù không
餒 𥢆 𢚸 仍 𢠣 𢚸,nỗi riêng lòng những giận lòng
𥪞 謹 拯 吘 穷 埃 咍,trong kín chẳng ngỏ cùng ai hay
兜 特 𠇍 𣎃 迟,đâu được mấy tháng chầy
富 翁 㐌 𧗱 𬆄 𤂬 鐄,phú ông đã về ngay suối vàng
老 婆 隻 𩄴 𢩣 霜,lão bà chiếc bóng buồng sương
姅 𠲖 𡥵 𪨅 姅 傷 𨉟 𫅷,nửa e con trẻ nửa thương mình già
法 律 箕 庄 計,pháp luật kia chẳng kể
固 押 仉 顛 頭,có ép kẻ đen đầu
空 療 領 𩢬 𠑬 𥙩 銭,không liều lĩnh lừa nhau lấy tiền
𦹵 𪃿 論 噴 蹽 𨒺 𠵽,cỏ gà lún phún treo quanh mép
亇 𩷉 離 西 澮 𡧲 𣳔,cá diếc le te lội giữa dòng
瓊 割 䓂,Quỳnh cắt ngọn
群 包 㭲 夜 抌 納 主,Còn bao góc rạ đem nộp chúa
主 沛 𠄩 吝 𪐝,Chúa phải hai lần mắc
仍 㐌 卒 順 耒,Nhưng đã trót thuận rồi
空 爫 芇 特,Không làm nào được
吏 旦 吝 次 𠀧,Lại đến lần thứ ba
瓊 旦 吀 辰 主 𥙩 奇 㭲 吝 䓂,Quỳnh đến xin thì chúa lấy cả gốc lẫn ngọn
群 曲 朱 瓊,Còn khúc cho Quỳnh
瓊 假 格 嗃,Quỳnh giả cách kêu
姉 𥙩 辰 㛪 群 特 之,Chị lấy thì em còn được gì
女,Nữa
懇 𠫾 懇 吏,Khấn đi khấn lại
主 一 定 空 𦖑,Chúa nhất định không nghe
瓊 𧗱 㮔 全 穭 吳,Quỳnh về trồng toàn lúa ngô
旦 期 特 𢯏,Đến kì được bẻ
包 辰 𥙩,Bao thì lấy
群 䓂 吧 㭲 抌 納 主,Còn ngọn và gốc đem nộp chúa
主 默 謀 𠀧 吝,Chúa mắc mưu ba lần
𠾕 吏 𪽞 空 朱 𦓿 女,Đòi lại ruộng không cho cầy nữa
仍 𦓡 𥪝 𠀧 務 意,Nhưng mà trong ba mùa ấy
瓊 㐌 劒 特 丐 本 𡚢 耒,Quỳnh đã kiếm được cái vốn to rồi
𠬠 吝 翁 琼 𠓨 謁 殿,Một lần ông Quỳnh vào yết điện
𧡊 主 固 銭 鉑,Thấy chúa có tiền bạc
定 撝 𦓡 懇 浪,định vay mà khấn rằng
擬 𠇮 分 𦟐 桃 𣘈 粉,nghĩ mình phận má đào son phấn
罕 縁 扵 分 荫 欣 𠊛,hắn duyên ưa phận ấm hơn người
𫨩 𡥵 造 撩 𤾰,hay con tạo trêu ngươi
無 縁 抪 纀 𥙩 𠊛 紅 顔,vô duyên bó buộc lấy người hồng nhan
𠸦 朱 妬 奇 肝 月 老,khen cho đó cả gan nguyệt lão
打 𨢇 㖇 車 人 縁,đánh rượu nhè xe nhân duyên
故 如 妾 婵 娟,cớ như thiếp thiền quyên
空 辰 𠤌 羣 慳 恄 夷,không thì chớ còn ghen ghét gì
察 𠇮 体 西 施 怒,xét mình thể Tây Thi nọ
𩈘 傾 城 今 古 無 双,mặt khuynh thành kim cổ vô song
曲 琴 𠫾 𨁥 𠄼 宮,khúc cầm đi đủ năm cung
㗂 絲 㗂 銅 台,tiếng tơ tiếng đồng thai
詩 怒 别 篇 𨱽 勾,thi nọ biết thiên dài câu
汫 意 清 新 埃 别,giếng ấy thanh tân ai biết
書 生 嗔 且 哪 𬗝 𬗝,thư sinh xin thả nạ rồng rồng
㛪 度 尼 縱 竭 𬨨,Em độ này túng kiệt quá
𦓡 姉 固 銭 底 空,Mà chị có tiền để không
吀 姉 朱 㛪 撝,Xin chị cho em vay
底 劍 利 餒 𡥙,Để kiếm lời nuôi cháu
呐 耒 阴 阳,Nói rồi âm dương
𠮩 𢺹 𦊛 姉 朱 撝 𠬠 分,Nếu chia tư chị cho vay một phần
辰 吀,Thì xin
𢺹 𠀧 姉 朱 㛪 撝 𠬠 分,Chia ba chị cho em vay một phần
辰 吀 𫤋,Thì xin ngửa
𠮩 姉 朱 撝 𠬠 𤖩,Nếu chị cho vay một nửa
辰 吀 一 阴 一 阳,Thì xin nhất âm nhất dương
𫥨 分 芇 琼 拱 𢬇 奇,ra phân nào Quỳnh cũng giữ cả
主 㐌 别 性 瓊 咍 馿,Chúa đã biết tánh Quỳnh hay lừa
空 空 𫤋,Không không ngửa
空 朱 一 阴 一 阳,Không cho nhất âm nhất dương
爫 𠄩 同 拠 𢮿 節 𠫾,Làm hai đồng cứ quay tít đi
瓊 𧡊 撫 𢬣 謡 𨖲 浪,Quỳnh thấy vỗ tay dao lên rằng
銭 𢱖 主 𢜠,Tiền múa chúa mừng
姉 平 𢚸 朱 㛪 撝 奇,chị bằng lòng cho em vay cả
呐 衝 抌 𧗱 茹,Nói xong đem về nhà
寔 主 英 如 拱 默 謀 瓊,Thật chúa anh như cũng mắc mưu quỳnh
𣅶 於 外 如 仙 𫅠,lúc ở ngoài như tiên đẹp
𣅶 𡎢 如 体 魔,lúc ngồi như thể ma
特 辰 𢝙 𨤔 唭 𨥁,được thì vui vẻ cười xoà
搈 蹎 唿 如 䏾 翁,rung chân hút như phỗng ông
仉 輸 泰 中 𢚸 即 恨,kẻ thua thái trong lòng tức giận
犯 顔 𫺓 哏 裙 𠑬,phạm nhan muốn cắn quần nhau
𢞅 𡥵 𢚸 吏 淡 陀,yêu con lòng lại đậm đà
羕 如 𢪲 𠨡 花 𣎀 𣈜,dường như nâng trứng hoa đêm ngày
𢪲 拯 𫵀 淶 𢬣,nâng chẳng chút rời tay
懞 𣎀 别 呐 懞 𣈜 别 𠫾,mong đêm biết nói mong ngày biết đi
𠀧 𢆥 飭 持,ba năm sức chì
𦓡 𡥵 摘 摘 知 知 𨔍 讓,mà con trích trích tri tri lạ nhường
𨔍 㳥 𣷭 𠰘 廊,lạ sóng bể miệng làng
仍 𠳒 制 每 塘 箕,những nhời chế mọi đường kia
不 仁 𢀭 𧘇 寶,bất nhân giầu ấy báu
𡗶 朱 貴 子 𣃣 𣃣 唫,giời cho quí tử vừa vừa câm
婆 𦖑 𧡊 仍 𤴬 𢚸,bà nghe thấy những đau lòng
𥢆 𨉓 只 𤋵 良 心 𠇍 𡗶,riêng mình chỉ giãi lương tâm mấy nhời
𣘃 𦖻 古 捛 頭,gãi tai cổ lả đầu
中 𫩖 𡄁 稟 喽 庫 𦖑,trong mồm lẩm bẩm rủa khó nghe
買 𡎢 哬 𠯋 親 切,mới ngồi hả hê thân thiết
據 呐 能 乱 射 庄 京,cứ nói năng loạn xạ chẳng kiêng
𣅶 輸 𡢐 教 折 尽 情,lúc thua sâu ráo riết tận tình
不 期 仉 重 𠊚,bất kì kẻ trọng người
吒 𡥵 伴 友 拱 𠱷 吝 𠑬,cha con bạn hữu cũng rình lẫn nhau
庒 法 則 頭 之 奇,chẳng phép tắc đầu chi cả
軍 排 曲 𦛌 連,quân bài khúc ruột liền
動 期 蕞 期 特 𬆄,động cà tỏi cà được ngay
𡥵 中 𢲬 𢬣 打 計,con trong thò tay đánh ké
偨 伵 外 𥄫 𥇚 𢺺 排,thầy tớ ngoài gấp ghé chia bài
他 浪 春 日 都 𢝙,thà rằng xuân nhật đua vui
欺 爫 拱 固 欺 𨔈 計 夷,khi làm cũng có khi chơi kể gì
仍 棋 泊 卒 辰 𠄼 𣎃,nhưng cờ bạc suốt thì năm tháng
欺 於 欺 伴 𡀍 𠫾,khi ở khi bạn rủ đi
吏 添 秃 𥒦 𠃣 痴,lại thêm xóc đĩa ít xì
𡀍 𠑬 𠫾 棧 𨔈 辰 旦 冬,rủ nhau đi sạn chơi thì đến đông
排 歌 𫯳 㐌 呐,bài ca chồng đã nói
謨 麻 䀡 𠀍 態 人 情,mua mà xem thế thái nhân tình
吏 群 固 成 𫅜,lại còn có thình lình
官 麻 扒 特 囚 刑 惨 台,quan mà bắt được tù hình thảm thay
吏 群 仉 𢘽 𫢩 𬨨 呆,lại còn kẻ dại nay quá ngốc
銭 朱 客 咹 空,tiền cho khách ăn không
一 仍 伴 𦟐 紅,nhất những bạn má hồng
𫺈 𠸜 妬 𡦂 𢚸,nhớ tên đố chữ lòng
𣈜 拱 𡎢 盘 詩,ngày cũng ngồi bàn thơ
嗃 同 人 耒 散 省 詩,kêu đồng nhân rỗi tán tiếng thơ
於 功 補 皮,ở công bỏ bê
福 宗 必 得 耒 輸 歇 銭,phước tông tất đắc rồi thua hết tiền
固 花 曷 連 萬 宝,có hoa hột liền vạn bửu
一 輸 咹 𥹙 拱 停,nhất thua ăn cháo cũng đành
辰 生 腿 外 情,thì sinh thói ngoại tình
𫅷 辰 生 腿 性 桄 処 床,già thì sinh thói tính quanh xử xằng
吹 公 𢖵 仉 南 𠊚 北,xui công nợ kẻ nam người bắc
歇 娘 吏 𠅎 𫔳,hết nương lại mất cửa
爫 朱 醜 伴 𡊨,làm cho xấu bọn đàn
𫯳 𡥵 𠅎 𢚁 媄 吒 𠅎 𢘾,chồng con mất cậy mẹ cha mất nhờ
仍 客 桃 疎 柳 要,những khách đào thơ liễu yếu
沛 都 坤 争 窖 𠁀 𫢩,phải đua khôn tranh khéo đời nay
斈 行 奔 半 𢬣,học hành buôn bán tay
爫 牢 熷 拱 𣈙 渃 𡽫,làm sao rỡ cùng rày nước non
抵 吒 媄 𫯳 𡥵 特 𢚁,để cha mẹ chồng con được cậy
局 荣 花 羶 𠊚 𠁀,cuộc vinh hoa chen người đời
𫔳 盛 添 𢝙,cửa thịnh thêm vui
𠳨 包 饒 𣦮 咳 姑 𨉓,hỏi bao nhiêu tuổi hỡi cô mình
姉 拱 生 𦓡 㛪 拱 生,chị cũng xinh mà em cũng xinh
堆 侶 如 印 詞 絏 𤽸,đôi lứa như in tờ giấy trắng
𠦳 𢆥 群 買 丐 春 撐,nghìn năm còn mãi cái xuân xanh
標 梅 之 監 情 𦝄 𩙌,tiễu mai chi dám tình trăng gió
蒲 柳 催 停 分 萌,bồ liễu thôi đành phận manh
群 趣 𢝙 箕 𫳵 𫽄 𤳰,còn thú vui kia sao chẳng vẽ
責 𠊚 𠏲 𤳰 窖 無 情,trách người thợ vẽ khéo vô tình
武 吏 能 騎 𡭉 𪀄 𠖤,vũ lại hay cỡi bắn chim bay
棋 高 帝 釋 昂 𢬣,cờ cao Đế Thích ngang tay
𦘧 能 如 意 群 𫢩 徒,Vẽ hay như ý còn nay trò
𡗋 𠊚 𡗉 𧵑 𤎔 𠁀 㗂,lắm người nhiều của rạng đời tiếng
𤳇 司 馬 相 如 𠁀 𠓀,trai tư mã tương như đời trước
唒 固 羣 劍 虐 尋 吹,dẫu có còn kiếm ngược tìm xuôi
𠦳 鐄 𣠖 𥚯 𠬠 唭,ngàn vàng chưa dễ một cười
玉 抌 𠬠 𨶜 羣 𡎢 𢗼 縐,ngọc đem một đấu còn ngồi lu xu
𥆾 渃 𣷭 㳥 秋 強 潤,nhìn nước bể sóng thu càng nhộn
屡 英 雄 𬑉 䀼 醝 迷,lũ anh hùng mắt sân say mê
醝 迷 𢲩 襖 麻 𧗱,say mê cắp áo mà về
𠳨 𠽄 𣷭 苦 滝 迷 塘 芇,hỏi thăm bể khổ sông mê đường nào
默 車 馬 噋 嗃 埃 意,mặc xa mã xôn xao ai ấy
准 圭 門 杄 庒 移,chốn khuê môn then chẳng dời
吏 添 𫼳 㗂 醜 沙,lại thêm mang tiếng xấu xa
牢 朱 平 𣈜 𡗶 從 且,sao cho bằng ngày trời thong thả
枉 功 𣘈 粉 花 𠬠 𠁀,uổng công son phấn hoa một đời
飭 𫯳 都 𢀭 𨖅,sức chồng đua giàu sang
枚 𫥨 功 盛 強,may ra công thịnh cường
羶 𬛕 富 貴 𫼳 毎 芸,chen vai phú quý mang mọi nghề
𠊚 中 渃 拱 辰 㤙 隊,người trong nước cũng thì ân đội
爫 𢧚 歷 坦 迎 𡗶,làm nên lệch đất nghiêng trời
埃 空 觧 才,ai không giải tài
埃 庄 𠊚 固 功,ai chẳng người có công
唒 𡛔 𤳇 拱 中 𡗶 坦,dẫu gái trai cũng trong trời đất
沛 爫 朱 恪 裙 𨥁,phải làm cho khác quần thoa
